fearandgreed,Date
82,2024-03-11
79,2024-03-10
84,2024-03-09
81,2024-03-08
82,2024-03-07
75,2024-03-06
90,2024-03-05
82,2024-03-04
83,2024-03-03
80,2024-03-02
80,2024-03-01
80,2024-02-29
82,2024-02-28
79,2024-02-27
72,2024-02-26
74,2024-02-25
72,2024-02-24
76,2024-02-23
74,2024-02-22
78,2024-02-21
72,2024-02-20
75,2024-02-19
72,2024-02-18
76,2024-02-17
72,2024-02-16
72,2024-02-15
74,2024-02-14
79,2024-02-13
70,2024-02-12
71,2024-02-11
74,2024-02-10
72,2024-02-09
66,2024-02-08
62,2024-02-07
64,2024-02-06
60,2024-02-05
60,2024-02-04
60,2024-02-03
63,2024-02-02
63,2024-02-01
60,2024-01-31
61,2024-01-30
55,2024-01-29
54,2024-01-28
55,2024-01-27
49,2024-01-26
52,2024-01-25
48,2024-01-24
50,2024-01-23
55,2024-01-22
56,2024-01-21
52,2024-01-20
51,2024-01-19
63,2024-01-18
60,2024-01-17
64,2024-01-16
52,2024-01-15
60,2024-01-14
64,2024-01-13
71,2024-01-12
76,2024-01-11
73,2024-01-10
76,2024-01-09
71,2024-01-08
71,2024-01-07
70,2024-01-06
72,2024-01-05
68,2024-01-04
70,2024-01-03
71,2024-01-02
65,2024-01-01
67,2023-12-31
68,2023-12-30
65,2023-12-29
73,2023-12-28
73,2023-12-27
71,2023-12-26
73,2023-12-25
71,2023-12-24
70,2023-12-23
74,2023-12-22
70,2023-12-21
74,2023-12-20
73,2023-12-19
65,2023-12-18
73,2023-12-17
67,2023-12-16
70,2023-12-15
72,2023-12-14
65,2023-12-13
67,2023-12-12
74,2023-12-11
74,2023-12-10
73,2023-12-09
72,2023-12-08
72,2023-12-07
72,2023-12-06
75,2023-12-05
74,2023-12-04
73,2023-12-03
74,2023-12-02
71,2023-12-01
74,2023-11-30
72,2023-11-29
68,2023-11-28
66,2023-11-27
73,2023-11-26
73,2023-11-25
66,2023-11-24
66,2023-11-23
62,2023-11-22
71,2023-11-21
69,2023-11-20
66,2023-11-19
69,2023-11-18
63,2023-11-17
70,2023-11-16
60,2023-11-15
69,2023-11-14
72,2023-11-13
73,2023-11-12
70,2023-11-11
70,2023-11-10
69,2023-11-09
66,2023-11-08
68,2023-11-07
74,2023-11-06
70,2023-11-05
68,2023-11-04
65,2023-11-03
72,2023-11-02
66,2023-11-01
66,2023-10-31
68,2023-10-30
72,2023-10-29
65,2023-10-28
70,2023-10-27
71,2023-10-26
72,2023-10-25
66,2023-10-24
53,2023-10-23
53,2023-10-22
63,2023-10-21
53,2023-10-20
52,2023-10-19
50,2023-10-18
52,2023-10-17
47,2023-10-16
45,2023-10-15
47,2023-10-14
44,2023-10-13
45,2023-10-12
47,2023-10-11
50,2023-10-10
50,2023-10-09
50,2023-10-08
49,2023-10-07
50,2023-10-06
48,2023-10-05
49,2023-10-04
50,2023-10-03
50,2023-10-02
48,2023-10-01
47,2023-09-30
48,2023-09-29
46,2023-09-28
44,2023-09-27
46,2023-09-26
47,2023-09-25
44,2023-09-24
47,2023-09-23
43,2023-09-22
47,2023-09-21
47,2023-09-20
46,2023-09-19
46,2023-09-18
46,2023-09-17
43,2023-09-16
45,2023-09-15
45,2023-09-14
41,2023-09-13
30,2023-09-12
40,2023-09-11
40,2023-09-10
41,2023-09-09
46,2023-09-08
41,2023-09-07
42,2023-09-06
40,2023-09-05
40,2023-09-04
40,2023-09-03
39,2023-09-02
40,2023-09-01
52,2023-08-31
49,2023-08-30
39,2023-08-29
39,2023-08-28
38,2023-08-27
38,2023-08-26
39,2023-08-25
41,2023-08-24
37,2023-08-23
37,2023-08-22
38,2023-08-21
37,2023-08-20
39,2023-08-19
37,2023-08-18
50,2023-08-17
52,2023-08-16
53,2023-08-15
50,2023-08-14
54,2023-08-13
54,2023-08-12
51,2023-08-11
53,2023-08-10
50,2023-08-09
54,2023-08-08
49,2023-08-07
49,2023-08-06
50,2023-08-05
54,2023-08-04
52,2023-08-03
53,2023-08-02
53,2023-08-01
50,2023-07-31
52,2023-07-30
52,2023-07-29
52,2023-07-28
51,2023-07-27
51,2023-07-26
50,2023-07-25
55,2023-07-24
54,2023-07-23
52,2023-07-22
50,2023-07-21
56,2023-07-20
50,2023-07-19
56,2023-07-18
54,2023-07-17
57,2023-07-16
56,2023-07-15
60,2023-07-14
57,2023-07-13
64,2023-07-12
57,2023-07-11
56,2023-07-10
55,2023-07-09
58,2023-07-08
55,2023-07-07
56,2023-07-06
61,2023-07-05
64,2023-07-04
62,2023-07-03
63,2023-07-02
59,2023-07-01
56,2023-06-30
54,2023-06-29
62,2023-06-28
59,2023-06-27
55,2023-06-26
64,2023-06-25
62,2023-06-24
65,2023-06-23
65,2023-06-22
59,2023-06-21
49,2023-06-20
47,2023-06-19
49,2023-06-18
47,2023-06-17
47,2023-06-16
41,2023-06-15
46,2023-06-14
45,2023-06-13
47,2023-06-12
47,2023-06-11
49,2023-06-10
50,2023-06-09
50,2023-06-08
53,2023-06-07
44,2023-06-06
53,2023-06-05
52,2023-06-04
53,2023-06-03
50,2023-06-02
52,2023-06-01
51,2023-05-31
51,2023-05-30
52,2023-05-29
50,2023-05-28
48,2023-05-27
49,2023-05-26
51,2023-05-25
50,2023-05-24
50,2023-05-23
49,2023-05-22
52,2023-05-21
48,2023-05-20
48,2023-05-19
51,2023-05-18
50,2023-05-17
54,2023-05-16
50,2023-05-15
48,2023-05-14
48,2023-05-13
49,2023-05-12
52,2023-05-11
52,2023-05-10
51,2023-05-09
60,2023-05-08
64,2023-05-07
60,2023-05-06
61,2023-05-05
64,2023-05-04
64,2023-05-03
55,2023-05-02
63,2023-05-01
60,2023-04-30
64,2023-04-29
64,2023-04-28
59,2023-04-27
56,2023-04-26
53,2023-04-25
53,2023-04-24
56,2023-04-23
53,2023-04-22
50,2023-04-21
52,2023-04-20
63,2023-04-19
58,2023-04-18
69,2023-04-17
68,2023-04-16
68,2023-04-15
68,2023-04-14
61,2023-04-13
65,2023-04-12
68,2023-04-11
62,2023-04-10
61,2023-04-09
61,2023-04-08
64,2023-04-07
63,2023-04-06
62,2023-04-05
62,2023-04-04
63,2023-04-03
63,2023-04-02
61,2023-04-01
63,2023-03-31
60,2023-03-30
57,2023-03-29
59,2023-03-28
64,2023-03-27
64,2023-03-26
64,2023-03-25
